what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835451799
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835457367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835495904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835502439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835503000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835503900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835515188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835522849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835543418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470835546795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470835547869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835548251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835550932
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470835551812
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1470835554296
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1470835557243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470835567473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470835570409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1470835571984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470835598631
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1470835605632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835626221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835627228
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1470835651163
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1470835651672
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1470835651801
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1470835652037
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1470835652884
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1470835653403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835667213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835668523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835672119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835675249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835679524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835679954
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1470835700829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1470835701596
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1470835702541
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470835702816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1470835707628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835708907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835710745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1470835724600
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1470835725902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470835754722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1470835755421
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1470835758166
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1470835799393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835802120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835807518
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1470835838426
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1470835839009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835867323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835877912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835877925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835878069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835878251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470835878645
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1470835880421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470835880838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470835886947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470835887094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470835887258
